County,Fully Reported,Total 2020,Net Votes 2020
ADAMS,1,36553,-23331
ALLEGHENY,1,357630,-61288
ARMSTRONG,1,28508,-19958
BEAVER,1,62768,-28160
BEDFORD,1,21459,-17815
BERKS,1,134112,-47046
BLAIR,1,45466,-29754
BRADFORD,1,22812,-14518
BUCKS,1,223341,-68345
BUTLER,1,77835,-45925
CAMBRIA,1,51686,-30516
CAMERON,1,1672,-1114
CARBON,1,23651,-13361
CENTRE,1,43624,-14726
CHESTER,1,158778,-35032
CLARION,1,15026,-10348
CLEARFIELD,1,30354,-20708
CLINTON,1,12875,-7463
COLUMBIA,1,21969,-12079
CRAWFORD,1,30233,-18127
CUMBERLAND,1,86541,-36819
DAUPHIN,1,89096,-18822
DELAWARE,1,190265,-1773
ELK,1,12714,-8040
ERIE,1,85067,-23773
FAYETTE,1,44301,-25627
FOREST,1,1873,-1261
FRANKLIN,1,58395,-39429
FULTON,1,6595,-5467
GREENE,1,13015,-8549
HUNTINGDON,1,17848,-12412
INDIANA,1,29809,-18207
JEFFERSON,1,18058,-13492
JUNIATA,1,9483,-7237
LACKAWANNA,1,71681,-13649
LANCASTER,1,183221,-80865
LAWRENCE,1,32869,-17189
LEBANON,1,47449,-28665
LEHIGH,1,104327,-25801
LUZERNE,1,92880,-42100
LYCOMING,1,44976,-27348
McKEAN,1,15065,-9557
MERCER,1,41254,-19780
MIFFLIN,1,16333,-12367
MONROE,1,49121,-11743
MONTGOMERY,1,260168,-26680
MONTOUR,1,6361,-3123
NORTHAMPTON,1,94419,-32913
NORTHUMBERLAND,1,31881,-18219
PERRY,1,18578,-12926
PHILADELPHIA,1,353721,151717
PIKE,1,18680,-10256
POTTER,1,7278,-5442
SCHUYLKILL,1,52894,-31126
SNYDER,1,14436,-9782
SOMERSET,1,32079,-22967
SULLIVAN,1,2705,-1763
SUSQUEHANNA,1,15579,-9841
TIOGA,1,16003,-10771
UNION,1,13673,-7267
VENANGO,1,19476,-12184
WARREN,1,15045,-9205
WASHINGTON,1,79451,-40633
WAYNE,1,18886,-11544
WESTMORELAND,1,141095,-77901
WYOMING,1,10497,-6137
YORK,1,155078,-83340
